8.839916776524842135e+03,1.252387552391035933e+04,1.258384418950748295e+04,5.753652051293380646e+04
1.564416858229957325e+04,2.225016264457656143e+04,2.243157049787461074e+04,1.020232178419266129e+05
2.233430062499965516e+03,2.213154035743168606e+03,2.233430062499965061e+03,2.897673587763444630e+03
1.345329516348536163e+04,1.497100737475169444e+04,1.494866650202525125e+04,4.090348663137794210e+04
8.685322958926206411e+03,8.883854840133013568e+03,8.863805251246203625e+03,1.438565009998454480e+04
4.373628742741467249e+03,4.659952568530752615e+03,4.687067609362187795e+03,1.376630841655045333e+04
3.930538129400775347e+02,5.396426677160375220e+02,5.420130947292013843e+02,1.074556568945569552e+03
5.619620072888532377e+03,5.682213243562296157e+03,5.673430110433054324e+03,6.297761289175503407e+03
2.042043944899448979e+04,2.551056421372186378e+04,2.550718880150935365e+04,1.228508389467433299e+05
2.397526068100762132e+03,2.756476081356242958e+03,2.776940720963172680e+03,6.485145192262637465e+03
1.064297320116752417e+04,1.340765963834355534e+04,1.341272086617409150e+04,2.586715248858904670e+04
7.305807886131840860e+03,8.420491903356491093e+03,8.408829266866730904e+03,1.376900634555665056e+04
1.074012667824961864e+04,1.236170159507198696e+04,1.240128728197590681e+04,4.706819929379842506e+04
5.199046275099634840e+03,5.208522267409472079e+03,5.204195836751153365e+03,4.886117430217432229e+03
1.782254656339503344e+04,2.114562349357502535e+04,2.108406098415083034e+04,7.582725311384422821e+04
1.825758789505881168e+03,2.166229691264387384e+03,2.182754881925138307e+03,3.441694245746613888e+03
1.196472524910040738e+04,1.379003038629938783e+04,1.379406965818883509e+04,2.785598906346010335e+04
7.146007095283323906e+03,7.344617445711554865e+03,7.334568085373196482e+03,1.036831936184747246e+04
1.466722427234966017e+04,1.650773073279294113e+04,1.652266362660782033e+04,4.995699405699003546e+04
1.281141208106299473e+03,1.302994312605672576e+03,1.302085805415479854e+03,1.092733954772947754e+03
1.830032000092509770e+04,2.105257172611126225e+04,2.065542408381350833e+04,1.437159751958419511e+05
5.232741798913350067e+03,5.227490128937981353e+03,5.223477152559302340e+03,5.181405944029464081e+03
